1;0
2;3
3;5
4;3
5;5
6;2
7;3
8;7
9;6
10;5
11;9
12;5
13;3
14;9
15;5
16;6
17;9
18;8
19;7
20;6
21;11
22;5
23;5
24;8
25;4
26;5
27;8
28;6
29;6
30;7
31;10
32;8
33;13
34;4
35;11
36;13
37;16
38;13
39;7
40;11
41;17
42;17
43;20
44;16
45;16
46;27
47;20
48;17
49;21
50;39
51;28
52;23
53;36
54;28
55;36
56;58
57;51
58;58
59;104
60;92
61;117
62;81
63;118
64;117
65;115
66;150
67;145
68;193
69;184
70;223
71;255
72;259
73;283
74;307
75;353
76;412
77;415
78;510
79;585
80;673
81;746
82;750
83;963
84;1077
85;1212
86;1317
87;1547
88;1904
89;2006
90;2383
91;2647
92;2862
93;3082
94;3338
95;3605
96;3714
97;3954
98;4192
99;4149
100;4325
101;4228
102;4226
103;3975
104;3980
105;3791
106;3712
107;3463
108;3400
109;3038
110;2760
111;2467
112;2198
113;2031
114;1693
115;1604
116;1386
117;1286
118;1028
119;919
120;793
121;717
122;672
123;544
124;514
125;435
126;406
127;385
128;333
129;322
130;316
131;316
132;316
133;298
134;282
135;283
136;284
137;295
138;286
139;306
140;310
141;309
142;321
143;322
144;303
145;311
146;346
147;371
148;376
149;403
150;402
151;371
152;406
153;434
154;464
155;457
156;541
157;491
158;522
159;497
160;606
161;579
162;606
163;616
164;627
165;699
166;673
167;703
168;731
169;775
170;714
171;749
172;800
173;809
174;753
175;754
176;799
177;727
178;757
179;759
180;693
181;684
182;687
183;656
184;674
185;649
186;722
187;620
188;623
189;601
190;619
191;707
192;697
193;706
194;692
195;762
196;830
197;823
198;915
199;949
200;1001
201;1104
202;1273
203;1326
204;1357
205;1453
206;1558
207;1757
208;1784
209;1855
210;1932
211;2098
212;2164
213;2155
214;2208
215;2271
216;2282
217;2346
218;2336
219;2283
220;2269
221;2266
222;2100
223;2126
224;1902
225;1715
226;1718
227;1583
228;1508
229;1362
230;1242
231;1182
232;1117
233;1016
234;924
235;906
236;836
237;698
238;672
239;586
240;608
241;556
242;508
243;441
244;421
245;412
246;426
247;382
248;413
249;367
250;362
251;382
252;388
253;360
254;367
255;364
256;358
257;387
258;401
259;395
260;358
261;355
262;394
263;380
264;394
265;400
266;386
267;392
268;386
269;403
270;404
271;366
272;382
273;400
274;378
275;394
276;373
277;379
278;390
279;395
280;387
281;400
282;349
283;379
284;362
285;357
286;331
287;363
288;366
289;353
290;310
291;341
292;356
293;338
294;289
295;322
296;332
297;322
298;312
299;299
300;287
301;283
302;335
303;255
304;330
305;281
306;248
307;271
308;256
309;281
310;252
311;268
312;273
313;269
314;272
315;278
316;263
317;245
318;247
319;270
320;234
321;219
322;247
323;222
324;241
325;244
326;214
327;257
328;255
329;238
330;248
331;268
332;269
333;265
334;274
335;229
336;276
337;250
338;244
339;263
340;259
341;252
342;249
343;268
344;273
345;274
346;249
347;246
348;279
349;266
350;272
351;276
352;286
353;289
354;285
355;311
356;312
357;315
358;298
359;335
360;332
361;325
362;322
363;313
364;390
365;360
366;350
367;369
368;365
369;366
370;393
371;398
372;370
373;405
374;380
375;389
376;391
377;402
378;407
379;448
380;376
381;400
382;385
383;391
384;412
385;368
386;368
387;376
388;363
389;363
390;369
391;374
392;298
393;347
394;294
395;354
396;308
397;285
398;296
399;293
400;269
401;241
402;263
403;256
404;259
405;227
406;231
407;200
408;218
409;198
410;211
411;180
412;188
413;215
414;174
415;180
416;158
417;174
418;166
419;170
420;163
421;148
422;160
423;166
424;152
425;141
426;171
427;158
428;151
429;132
430;150
431;145
432;162
433;164
434;150
435;143
436;134
437;147
438;147
439;143
440;147
441;159
442;162
443;132
444;126
445;141
446;156
447;126
448;108
449;128
450;150
451;131
452;134
453;147
454;141
455;129
456;133
457;148
458;157
459;132
460;137
461;153
462;131
463;152
464;155
465;154
466;145
467;134
468;163
469;125
470;166
471;191
472;167
473;176
474;169
475;173
476;193
477;221
478;206
479;212
480;204
481;257
482;220
483;248
484;265
485;255
486;246
487;264
488;307
489;288
490;266
491;322
492;311
493;311
494;393
495;348
496;343
497;419
498;386
499;386
500;421
501;409
502;466
503;436
504;442
505;431
506;436
507;492
508;518
509;559
510;511
511;508
512;479
513;531
514;481
515;478
516;465
517;487
