V I
0.04 0
4.92 4
5.53 6
6.01 8
6.68 10
7.15 12
7.74 14
8.23 16
8.77 18
9.29 20
9.75 22
10.30 24
11.15 28
11.63 30
12 32
12.84 36
13.62 40
14.50 44
15.31 48
16.21 52
17.06 56
17.92 60
18.82 64
19.75 68
20.09 69
20.9 72
22.50 76
24.85 78
23.15 77
25.48 36
27.18 35
28.50 40
29.23 44
29.85 48
30.33 52
31.07 56
31.61 60
32.13 64
32.88 68
33.35 72
34.26 76
35.03 80
36.35 84
38.88 86
39.59 86
40.2 84
42.43 80
43.53 77
44.44 75
45.06 73
46.45 70
49.07 67
51.25 68
52.6 70
54.34 72
57.35 76
59.68 80
64.99 81
68.89 80
