V I
0.04 1
1.19 3
1.75 4.5
2.36 6
3.04 8
3.82 10
4.96 13
5.71 15
6.13 16
6.72 18
7.3 20
7.89 22
8.37 24
8.78 25
9.06 26
9.30 27
9.8 28
10.2 30
10.86 32
11.73 34
12.34 36
13.01 38
13.59 40
14.3 42
15.2 45
15.65 46
16.5 48
17.1 50
18.1 52
18.78 54
19.80 56
22.2 58
22.7 58
20.4 57
21 58
23.5 55
24 52
24.45 50
24.61 51
25.02 52
25.52 53
25.6 54
26.01 55
26.7 56
27.16 58
27.82 60
28.37 62
28.81 64
29.5 66
30.15 68
30.29 69
30.56 70
31.19 72
31.72 74
32.25 76
32.96 78
33.57 80
34.15 82
34.75 84
35.79 86
37.75 88
39.33 87
39.82 86
40.56 85
41.09 84
42.35 83
43.80 82
36.15 87
46.5 83
48.06 85
48.72 86
50.86 88
51.6 90
52.76 92
54.16 94
55.26 96
57.02 98
58.71 100

