l;\sigma_l;<N>;\sigma_{<N>};<N>-N_Ф;\sigma;ln;\sigma
10,00;0,05;83668;825;83557;825;11,333;0,010
20,0;0,1;36569;196;36458;196;10,504;0,005
30,00;0,15;17418;58;17306;58;9,759;0,003
40,0;0,2;10649;90;10538;90;9,263;0,009
50,0;0,3;5486;53;5375;53;8,589;0,010
