№;1;2;3;4;5;6;7;8;9;10;11
N_{\text{фон}};91;102;109;84;115;112;121;128;138;112;111,2
\sigma_{N_{\text{фон}}};9,539392014;10,09950494;10,44030651;9,16515139;10,72380529;10,58300524;11;11,3137085;11,74734012;10,58300524;5,109468335
