l;\sigma_l;<N>;\sigma_{<N>};<N>-N_Ф;\sigma;ln;\sigma
19,90;0,05;178439;1081;178328;1081;12,091;0,006
39,8;0,1;167414;446;167303;446;12,028;0,003
59,70;0,15;160914;163;160802;163;11,988;0,001
;;;;;;;
;;;;;;;
